iter	Logloss
123	0.4126755152
124	0.4124025198
125	0.4122038621
126	0.4119753715
127	0.4117540539
128	0.4105221023
129	0.4094945793
130	0.4086411957
131	0.4074953193
132	0.4066726163
133	0.4065081931
134	0.4055924375
135	0.4042264498
136	0.4040733403
137	0.4036527128
138	0.4034631843
139	0.4031276866
140	0.4020387046
141	0.4015461196
142	0.400573274
143	0.3998345595
144	0.3994146494
145	0.3985139896
146	0.3974418314
147	0.3972477709
148	0.3962450272
149	0.3955662067
150	0.3947125948
151	0.3940728016
152	0.3932348072
153	0.3928634774
154	0.392324627
155	0.3919545687
156	0.3913124932
157	0.3911342784
158	0.3905061901
159	0.39000966
160	0.3894181537
161	0.3890675602
162	0.3885456639
163	0.3879175431
164	0.3870135576
165	0.3861423069
166	0.3851937514
167	0.3846185146
168	0.3839504861
169	0.3833051176
170	0.3826006376
171	0.3817604261
172	0.3810812795
173	0.3804115882
174	0.3799190684
175	0.3794120397
176	0.3786985609
177	0.378122509
178	0.3777124128
179	0.3769559942
180	0.3765336061
181	0.3758265829
182	0.3753926856
183	0.3748137319
184	0.3741155771
185	0.3734900646
186	0.3727513501
187	0.3722715133
188	0.3716123206
189	0.37149876
190	0.3709192521
191	0.3703488733
192	0.3701403691
193	0.369966132
194	0.3691335825
195	0.3684088878
196	0.3674670488
197	0.3668442751
198	0.3661815285
199	0.3656456124
200	0.3651203905
201	0.364743518
202	0.3645267324
203	0.3641810621
204	0.3637826382
205	0.3632660238
206	0.3627551152
207	0.3624336699
208	0.3618838644
209	0.3613529042
210	0.3608592107
211	0.3604792407
212	0.3596572224
213	0.3591517261
214	0.3587080801
215	0.3582213638
216	0.3580502893
217	0.3578090505
218	0.3575748541
219	0.3570520124
220	0.3567337297
221	0.3562819978
222	0.3556376726
223	0.3550321791
224	0.3545870007
225	0.3542595562
226	0.3537371383
227	0.3534063356
228	0.3530737722
229	0.352739383
230	0.3522385165
231	0.3519559029
232	0.3518418858
233	0.35148901
234	0.3511188214
235	0.3506613185
236	0.3499965179
237	0.3495361785
238	0.349029378
239	0.3485483675
240	0.3478673951
241	0.3474118485
242	0.3468804319
243	0.3465379242
244	0.3457629212
245	0.3452519474
246	0.3449427613
247	0.3449140369
248	0.3445917113
249	0.3440820417
250	0.3436682937
251	0.3433666392
252	0.3431558201
253	0.3429300031
254	0.3425328181
255	0.3423207601
256	0.3419998691
257	0.3416731093
258	0.3414807768
259	0.3413785951
260	0.3409814753
261	0.3403830895
262	0.3400240515
263	0.3393778353
264	0.3390569442
265	0.3385252993
266	0.3382547493
267	0.3379880791
268	0.3377787272
269	0.3371598333
270	0.3366187984
271	0.3364993364
272	0.3363170787
273	0.3359017657
274	0.335345472
275	0.3348566365
276	0.3346351558
277	0.3342368623
278	0.3340073284
279	0.3338557838
280	0.3335046035
281	0.3331752353
282	0.3328930455
283	0.3328716245
284	0.3324445741
285	0.332018893
286	0.3317009037
287	0.3314944536
288	0.3311112233
289	0.330808721
290	0.3305219341
291	0.3303262759
292	0.3301415403
293	0.3295260698
294	0.3294130635
295	0.3292041355
296	0.3289175441
297	0.3286318331
298	0.3283056275
299	0.3282101949
300	0.3282024351
301	0.3279998649
302	0.3276610415
303	0.327476045
304	0.3272501302
305	0.3270003816
306	0.3266668727
307	0.3262168689
308	0.3257035476
309	0.3256957877
310	0.3253511934
311	0.3249701475
312	0.3245069064
313	0.3242170546
314	0.3239448417
315	0.3237572694
316	0.323435009
317	0.3231531127
318	0.3227364956
319	0.3224536863
320	0.322160998
321	0.3218568655
322	0.3215971727
323	0.3210894267
324	0.3207593086
325	0.3206433679
326	0.3204201918
327	0.3204140948
328	0.3202492152
329	0.3200001187
330	0.3198291094
331	0.3194724515
332	0.3191993257
333	0.3190106123
334	0.3185674879
335	0.3183633527
336	0.3180986714
337	0.3179008288
338	0.3175922622
339	0.317195175
340	0.3167642773
341	0.3164824787
342	0.3162268614
343	0.3158087445
344	0.3157948551
345	0.3155341189
346	0.3153230064
347	0.315169962
348	0.3150788658
349	0.3149899866
350	0.3147682125
351	0.3146703345
352	0.3143248273
353	0.3140711988
354	0.3139004504
355	0.3135407603
356	0.313244029
357	0.3129640237
358	0.3126531422
359	0.3123277844
360	0.3121829889
361	0.3117321047
362	0.3114095835
363	0.3112835354
364	0.3110711513
365	0.3109310183
366	0.310777061
367	0.3102759989
368	0.3099712796
369	0.309589386
370	0.309534513
371	0.3093062507
372	0.3089477017
373	0.3086981488
374	0.3083449796
375	0.3079961141
376	0.3076141227
377	0.307105529
378	0.3067954952
379	0.3066909008
380	0.3064640078
381	0.3061440623
382	0.3060713874
383	0.3057212504
384	0.3054892711
385	0.305255466
386	0.3050060435
387	0.304778368
388	0.3047461877
389	0.3043969309
390	0.3041267721
391	0.3039408301
392	0.3037664951
393	0.3035040635
394	0.303403349
395	0.3031938667
396	0.3029615614
397	0.3028931577
398	0.3027582087
399	0.3024559347
400	0.3023623605
401	0.3019615891
402	0.3015147152
403	0.3010419536
404	0.3007393209
405	0.3003666544
406	0.3000913441
407	0.2998228155
408	0.2995616554
409	0.2994037204
410	0.2990763086
411	0.298881922
412	0.2984427428
413	0.2982593765
414	0.2981142875
415	0.2976214743
416	0.2973449577
417	0.2970693865
418	0.2968540681
419	0.2966324244
420	0.2964431567
421	0.296090933
422	0.2956556989
423	0.2952532646
424	0.2950876676
425	0.2948992477
426	0.2948442117
427	0.2945930937
428	0.2943693634
429	0.293918251
430	0.2937776614
431	0.2934370448
432	0.2932793707
433	0.2930641174
434	0.2927317823
435	0.2923921112
436	0.2921608819
437	0.2919465415
438	0.2917393741
439	0.291672079
440	0.2914931795
441	0.2911528889
442	0.2909511012
443	0.2906682919
444	0.2903994699
445	0.2902767801
446	0.2900829478
447	0.2897343432
448	0.2893517975
449	0.289281731
450	0.2891810164
451	0.2890627608
452	0.2888525286
453	0.2885736645
454	0.28825874
455	0.2881505917
456	0.2878307766
457	0.2874812591
458	0.287278102
459	0.2871618678
460	0.2869635036
461	0.2867207975
462	0.2863009526
463	0.2860662998
464	0.2858430259
465	0.285748767
466	0.2854751848
467	0.2853222708
468	0.285166879
469	0.2848798964
470	0.28453465
471	0.2843707484
472	0.2842453199
473	0.2839410896
474	0.2836805164
475	0.2835350689
476	0.2832925911
477	0.2831297002
478	0.2829892085
479	0.2825293908
480	0.282345568
481	0.2820639977
482	0.2817710159
483	0.281561501
484	0.2814333011
485	0.2812310243
486	0.2810939561
487	0.2808914837
488	0.2806306171
489	0.2805952414
490	0.2803337554
491	0.2801091121
492	0.279867971
493	0.2795562092
494	0.2795173449
495	0.2791259635
496	0.2790883382
497	0.2789511395
498	0.2785740388
499	0.2783824888
